orig_latitude,orig_longitude,left_latitude,left_longitude,right_latitude,right_longitude
10.004526,76.3759859,10.004525999921865,76.37575787655011,10.004525999921865,76.3762139234499
10.0043847,76.3755019,10.004384699921866,76.37527387664866,10.004384699921866,76.37572992335134
10.0043908,76.3751154,10.004390799921865,76.37488737664441,10.004390799921865,76.37534342335559
10.0044526,76.3747693,10.004452599921864,76.3745412766013,10.004452599921864,76.37499732339869
10.0045321,76.3745653,10.004532099921866,76.37433727654586,10.004532099921866,76.37479332345414
10.004687,76.374424,10.004686999921864,76.37419597643782,10.004686999921864,76.37465202356219
10.0049083,76.3743241,10.004908299921864,76.37409607628345,10.004908299921864,76.37455212371654
10.0051225,76.3742115,10.00512249992186,76.37398347613404,10.00512249992186,76.37443952386596
10.0051222,76.3742274,10.005122199921859,76.37399937613424,10.005122199921859,76.37445542386575
10.0052046,76.3742006,10.005204599921859,76.37397257607677,10.005204599921859,76.37442862392322
10.0053973,76.374103,10.00539729992186,76.37387497594236,10.00539729992186,76.37433102405765
10.00551495,76.37404605,10.005514949921855,76.37381802586027,10.005514949921855,76.37427407413973
10.0056326,76.3739891,10.005632599921853,76.3737610757782,10.005632599921853,76.3742171242218
10.0058466,76.3739684,10.005846599921856,76.37374037562891,10.005846599921856,76.37419642437108
10.0060719,76.3740489,10.006071899921853,76.37382087547175,10.006071899921853,76.37427692452826
10.006249,76.3742112,10.006248999921851,76.3739831753482,10.006248999921851,76.37443922465181
10.006272,76.373975,10.00627199992185,76.37374697533215,10.00627199992185,76.37420302466785
10.006416,76.3743883,10.006415999921849,76.3741602752317,10.006415999921849,76.37461632476831
10.0065982,76.3745548,10.00659819992185,76.37432677510458,10.00659819992185,76.37478282489542
10.0067827,76.3747231,10.00678269992185,76.37449507497587,10.00678269992185,76.37495112502413
10.0069945,76.3748412,10.006994499921845,76.3746131748281,10.006994499921845,76.37506922517191
10.0064951,76.3742014,10.00649509992185,76.37397337517652,10.00649509992185,76.37442942482349
10.0065504,76.3741697,10.006550399921851,76.37394167513793,10.006550399921851,76.37439772486206
10.0067155,76.3741177,10.00671549992185,76.37388967502275,10.00671549992185,76.37434572497725
10.0071231,76.3741699,10.007123099921843,76.37394187473838,10.007123099921843,76.37439792526162
10.007644,76.374641,10.007643999921841,76.37441297437493,10.007643999921841,76.37486902562506
10.0073173,76.3741278,10.007317299921844,76.37389977460288,10.007317299921844,76.37435582539712
10.0072403,76.3739391,10.007240299921845,76.37371107465661,10.007240299921845,76.37416712534339
10.0071091,76.3736358,10.007109099921845,76.37340777474815,10.007109099921845,76.37386382525186
10.00706405,76.37354780000001,10.007064049921842,76.37331977477959,10.007064049921842,76.37377582522043
10.007079075,76.3734038,10.007079074921844,76.3731757747691,10.007079074921844,76.37363182523092
10.0070941,76.3732598,10.007094099921844,76.3730317747586,10.007094099921844,76.3734878252414
10.0072011,76.3730079,10.007201099921843,76.37277987468396,10.007201099921843,76.37323592531605
10.0071117,76.3727907,10.007111699921843,76.37256267474632,10.007111699921843,76.37301872525367
10.0067748,76.3727765,10.006774799921848,76.37254847498137,10.006774799921848,76.37300452501863
10.0066953,76.3730545,10.006695299921846,76.37282647503683,10.006695299921846,76.37328252496316
10.006753,76.373492,10.006752999921847,76.37326397499659,10.006752999921847,76.37372002500341
10.006858,76.3737834,10.006857999921845,76.37355537492333,10.006857999921845,76.37401142507666
10.006894,76.373876,10.006893999921846,76.3736479748982,10.006893999921846,76.37410402510179
